,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
145,3266191008431.0,484.0,15.0,24.0,6.0,6.1,0.0,0.0,d,d
146,3266191008981.0,513.0,14.4,47.8,4.0,6.5,0.04,16.0,e,e
147,3266191056821.0,103.0,0.5,13.0,1.1,3.5,0.15,0.0,b,b
148,3266191067896.0,503.0,12.8,60.3,0.0,5.7,0.1,0.0,e,e
149,3266191081007.0,422.0,2.8,26.0,6.9,8.9,0.7,0.0,c,c
150,3266191081038.0,411.0,4.4,12.0,12.0,11.0,0.02,0.0,c,c
151,3266191081076.0,452.0,9.6,22.0,3.2,6.6,0.7,0.0,d,d
152,3266191085722.0,528.0,15.0,36.0,2.5,6.5,0.36,0.0,e,e
153,3268350120213.0,534.0,9.8,31.1,4.2,5.8,0.15,3.0,d,d
154,3260000000000.0,390.0,1.7,30.0,6.2,9.0,0.2,0.0,c,c
155,3270160587551.0,414.0,16.0,32.0,2.2,6.4,0.12,0.0,e,e
156,3270160820955.0,394.0,4.8,22.0,5.9,7.0,0.3,0.0,c,c
157,3270160821181.0,181.0,3.4,26.0,2.3,2.5,0.09,0.0,c,c
158,3270160853694.0,508.0,16.0,27.0,4.0,6.5,1.1,0.0,e,d
159,3273120024486.0,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,c
160,3273120026367.0,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,c
161,3273120026961.0,483.0,6.0,20.0,9.0,9.6,0.2,0.0,c,c
162,3273120027173.0,460.0,3.6,21.0,8.0,9.0,0.24,0.0,c,c
163,3273120028477.0,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,c
164,3278690085646.0,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,b
165,3278690085684.0,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,b
166,3278692500215.0,104.0,1.2,14.0,0.0,6.2,0.14,0.0,b,b
167,3278692500321.0,370.0,17.0,23.0,0.0,6.6,0.33,0.0,e,e
168,3278692500581.0,111.0,1.1,17.0,0.0,5.7,0.22,0.0,b,b
169,3278693504076.0,111.0,1.1,18.0,0.0,5.7,0.22,0.0,b,b
170,3278693604076.0,115.0,1.1,18.0,0.0,5.7,0.22,0.0,b,b
171,3278699700007.0,111.0,1.1,18.0,0.0,5.7,0.2,0.0,b,b
172,3278699700014.0,123.0,1.3,18.0,0.0,7.1,0.29,0.0,b,b
173,3278699700304.0,121.0,1.3,19.0,0.0,6.8,0.27,0.0,c,b
174,3270000000000.0,411.0,4.4,12.0,12.0,11.0,0.02,0.0,c,c
175,3284230010825.0,365.0,4.8,17.5,1.9,8.2,0.9906,0.0,d,c
176,3288131600208.0,420.0,3.8,23.0,3.9,7.0,0.29,0.0,c,c
177,3288132600412.0,387.0,1.6,21.0,7.6,9.7,0.18,0.0,a,b
178,3297760084006.0,159.0,6.5,17.0,1.2,1.5,0.02,0.0,c,c
179,3297760085003.0,177.0,8.5,17.0,1.2,1.6,0.01,0.0,d,d
180,3322680010542.0,464.0,3.7,36.0,2.6,7.1,0.85,0.0,d,d
181,3329483321035.0,449.0,5.0,20.2,6.5,9.5,0.02,0.0,c,c
182,3339523275006.0,304.0,11.5,26.6,1.2,7.6,0.27,0.0,d,d
183,3347430009065.0,403.0,6.5,9.79,8.26,11.42,0.029,0.0,c,c
184,3347430019330.0,423.0,3.95,19.07,5.82,8.83,0.1,0.0,c,c
185,3347430021807.0,473.0,9.83,12.62,3.03,7.0,0.02,0.0,d,d
186,3347430021869.0,440.0,9.85,12.62,7.83,11.16,0.01,0.0,d,d
187,3347430022446.0,448.0,10.08,12.35,3.97,7.26,0.02,0.0,d,d
188,3347431928358.0,357.0,2.4,7.0,9.3,9.9,0.08,0.0,a,a
189,3347439950313.0,440.0,9.85,12.62,7.83,11.16,0.01,0.0,d,d
190,3347439950412.0,436.0,9.83,13.92,5.11,10.25,0.01,0.0,d,d
191,3350031895135.0,586.0,16.0,44.0,2.3,8.2,0.15,0.0,e,e
192,3350031931512.0,380.0,1.7,20.0,8.3,9.3,0.0762,0.0,a,b
193,3350033138759.0,390.0,1.7,30.0,6.2,9.0,0.23,0.0,c,c
194,3350033237933.0,450.0,2.2,45.0,5.5,13.0,0.1,38.0,d,c
195,3350033293366.0,495.0,14.0,21.0,6.6,7.5,0.02,0.0,d,d
196,3350033528109.0,513.0,14.0,34.0,2.7,6.5,0.37,0.0,e,e
