code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.229820160672E12,Croustillant Chocolat,500,Bjorg,461.0,4.3,15.0,8.2,10.0,0.03,0.0,c,7.0
3.22982076461E12,Galettes de riz - Chocolat noir Coco,90,Bjorg,504.0,16.0,24.0,6.3,7.5,0.1,6.0,d,16.0
3.229820786605E12,Crousti avoine chocolat,500,Bjorg,434.0,4.3,15.0,9.8,9.3,0.07,0.0,c,7.0
3.229820788067E12,Galettes de Riz Chocolat au Lait,90,Bjorg,493.0,14.0,27.0,3.5,7.8,0.09,0.0,d,18.0
3.229820789163E12,Galettes de riz chocolat noir,100,Bjorg,478.0,14.0,22.0,5.8,6.8,0.02,0.0,d,14.0
3.229820791807E12,Dessert amande chocolat,534.0,Bjorg,80.0,0.5,11.0,1.1,1.3,0.05,3.0,b,1.0
3.229820792224E12,2 Galettes De Riz Au Chocolat Noir Bio,"22,5",Bjorg,494.0,14.0,27.0,4.9,7.199999809,0.0,0.0,d,16.0
3.229820793665E12,Soja chocolat,1000.0,Bjorg,72.0,0.6,7.0,0.9,3.8,0.09,0.0,a,-1.0
3.229820794181E12,Boisson soja chocolat BIO les 2 briques de 1 l,200.0,Bjorg,80.0,0.8,8.0,0.9,4.0,0.125,0.0,a,-1.0
3.229820797908E12,Granola chocolat coco,200,Bjorg,438.0,5.0,14.0,11.0,11.0,0.0,0.0,c,7.0
3.22982079811E12,Granola Chocolat,350.0,bjorg,420.0,3.1,12.0,8.9,10.0,0.01,0.0,b,0.0
3.229820801056E12,,450,Bjorg,426.0,4.0,14.0,9.6,9.6,0.07,0.0,c,6.0
3.22E12,"Barres de céréales abricot, chocolat noir, amande.",120.0,Casino Bio,368.0,3.5,28.0,12.0,6.2,0.16,35.7,c,7.0
3.23E12,Doo Wap pépites choco sans additif,320.0,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0
